id,title,phoneNumber,website,email,source,category
7742,1ClickPrint,"01909 561 880",,,"Business Magnet",
7743,"1st Choice Roller Shutter Services Ltd","0114 269 5201",,,"Business Magnet",
7744,"1st Choice Security Solutions Ltd",01142695201,,,"Business Magnet",
7745,"1st Horizon 3D Scanner Store","01226 760 955",,,"Business Magnet",
7746,"2020 Research Ltd","01226 767120",,,"Business Magnet",
7747,"3 Peaks Communication Ltd","0114-272 4500",,,"Business Magnet",
7748,"3D Courier Services","07817 708 363",,,"Business Magnet",
7749,"4G Voice & Data","0333 358 9888",,,"Business Magnet",
7750,"7 Protect Ltd","0845 388 7 001",,,"Business Magnet",
7751,"A B Castle Removals & Storage","0114 358 9272",,,"Business Magnet",
7752,"A C Supplies Ltd","0114 245 4540",,,"Business Magnet",
7753,"A G Group Ltd","0114 2755707",,,"Business Magnet",
7754,"A G Shepherd (Machinery) Ltd","0114 270 6146",,,"Business Magnet",
7755,"A I V A F Ltd","0114 2889111",,,"Business Magnet",
7756,"A M Time Services","0114-248 5855",,,"Business Magnet",
7757,"A S Sign Services","0845 366 4221",,,"Business Magnet",
7758,"A T B Installations","0114-237 4508",,,"Business Magnet",
7759,"A&C Maintenance Limited","01909 568 010",,,"Business Magnet",
7760,"A&R Engineering Services Limited","01142 337922",,,"Business Magnet",
7761,"A. Deeley (Cutlery Manufacturers) Ltd","0114 269 4607",,,"Business Magnet",
7762,"A.W.V. Turner & Co. Ltd","0114 272 4162",,,"Business Magnet",
7763,"A1 Agency Ltd",01433651095,,,"Business Magnet",
7764,"A1 Pallets & Timber Products","0800 859 5379",,,"Business Magnet",
7765,"AA Tools Ltd","0114 2444 555",,,"Business Magnet",
7766,"Abacon Ltd","0114-256 2266",,,"Business Magnet",
7767,"Abbey Glass","0114 358 6252",,,"Business Magnet",
7768,"Abbeydale Storage Company","0114 281 9299",,,"Business Magnet",
7769,"Abel Magnets Ltd","0114 249 5949",,,"Business Magnet",
7770,"Ability Lifts Ltd","0845 0068803",,,"Business Magnet",
7771,Abracadabra,"0114 242 2414",,,"Business Magnet",
7772,"Absolute Coffee","01142 997 994",,,"Business Magnet",
7773,"Abtech Limited","+44 (0)114 244 2424",,,"Business Magnet",
7774,"ACB North ","0114 398 4488",,,"Business Magnet",
7775,"Access 4 U Scaffolding Ltd","01142 997993",,,"Business Magnet",
7776,"Access Lifting Pulling and Safety Ltd","01246 413111",,,"Business Magnet",
7777,"Accmora Limited",01143279724,,,"Business Magnet",
7778,Accusound,"0114 220 3517",,,"Business Magnet",
7779,"ACDC Cranes Ltd","0114 248 4544",,,"Business Magnet",
7780,"Ace Janitorial Supplies Limited","0114 244 4474",,,"Business Magnet",
7781,"Ace-Tek UK Ltd","01709 558 686",,,"Business Magnet",
7782,"Acme United Europe","0114-220 3709",,,"Business Magnet",
7783,"Acme United Ltd (Surmanco Division)","0114 256 4000",,,"Business Magnet",
7784,"Active Metals Ltd","0114 247 3662",,,"Business Magnet",
7785,"AD Assemblies Ltd","0800 783 8388",,,"Business Magnet",
7786,"Adelphi Catering","0114 244 0466",,,"Business Magnet",
7787,"Adhoc Metal","0114-275 7386",,,"Business Magnet",
7788,"Admirals Yard Self Storage","01246 436225",,,"Business Magnet",
7789,"ADS Precision Ltd","0114 234 7352",,,"Business Magnet",
7790,"Advanced Alloy Services Ltd","01909 569930",,,"Business Magnet",
7791,"Advanced Fluid Technologies Ltd","0114 248 9430",,,"Business Magnet",
7792,"Advanced Stamp & Plate Co","0114-250 8888",,,"Business Magnet",
7793,"Advanced Steel Products","0114 233 0933",,,"Business Magnet",
7794,"Advanced Titanium Materials Ltd","01142 767 771",,,"Business Magnet",
7795,"Advanced Window Blind Systems","0114 242 5222",,,"Business Magnet",
7796,"Aeration & Mixing Ltd","+44 (0) 1302 215 156",,,"Business Magnet",
7797,"Aero Fire & Rescue Ltd","0330 111 3625",,,"Business Magnet",
7798,"AF ChemPharm Ltd","0114 3277279",,,"Business Magnet",
7799,"Affinity IT Services Ltd","0114 282 3274",,,"Business Magnet",
7800,"AG Wind Power Ltd","0114 252 5850",,,"Business Magnet",
7801,"AGM Training Services Ltd","07767 881041",,,"Business Magnet",
7802,"Air Power Products Ltd","01909 519519",,,"Business Magnet",
7803,"Aircraft & Commercial Tools (Sheffield) Ltd","0114 272 8112",,,"Business Magnet",
7804,"Airflow Products Ltd","0114 232 7788",,,"Business Magnet",
7805,"AIRLOAD ENVIRONMENTAL LTD","01142 696788",,,"Business Magnet",
7806,"Airmaster Air Conditioning Ltd","0114-288 9911",,,"Business Magnet",
7807,"AK Heavy Engineering ","0114 291 4064",,,"Business Magnet",
7808,"AK Storage Sheffield",01142737363,,,"Business Magnet",
7809,"AKS Heat Transfer","0114 269 4002",,,"Business Magnet",
7810,"Albert Marsh and Bestelite Hardfacing Co Ltd - Stellite and Colmonoy Coatings","01142 446708",,,"Business Magnet",
7811,"Albion Detection Systems Ltd","0114-236 9640",,,"Business Magnet",
7812,"Albion Vehicle Contracts Ltd (Network)","0114 244 7974",,,"Business Magnet",
7813,"Alexander Engraving & Graphic Arts","0114 258 9051",,,"Business Magnet",
7814,"Alexander Seven Marketing Co Ltd","0114-267 5600",,,"Business Magnet",
7815,"Alfra (UK) Ltd","0114-243 8800",,,"Business Magnet",
7816,"Alfra Electrical Ltd","0114 2438800",,,"Business Magnet",
7817,"Algar Air Compressed Air Engineers Ltd","0114 243 2347",,,"Business Magnet",
